"","variety","emmean","SE","df","lower.CL","upper.CL","yr_release"
"1","Adamant",8.23782785741847,0.253373274623742,446,7.73987407111239,8.73578164372454,1972
"2","Alves",11.0850157738204,0.16871913346868,446,10.7534325338052,11.4165990138356,2006
"3","Amalia",11.3783984136806,0.195427037574134,446,10.9943262046004,11.7624706227608,2010
"4","Anapolis",11.1802913515163,0.223938673149135,446,10.7401853049707,11.6203973980619,2012
"5","Anouska",8.25007785741844,0.253373274623742,446,7.75212407111237,8.74803164372451,1972
"6","Anthus",10.928774321615,0.167272078625571,446,10.6000349744262,11.2575136688037,2003
"7","Arminda",8.84379382125401,0.13840976503268,446,8.57177749805613,9.11581014445189,1974
"8","Arnaut",8.82419917233564,0.18253147687132,446,8.46547057255302,9.18292777211827,1993
"9","Benchmark",12.2645539558401,0.245389191954509,446,11.7822912648211,12.746816646859,2013
"10","Bercy",9.70107646460815,0.150607363799747,446,9.40508823474836,9.99706469446795,1992
"11","Bristol",10.5879870792306,0.141717926632601,446,10.3094692353146,10.8665049231467,1999
"12","Carenius",10.6593565884689,0.1907670446786,446,10.2844426503624,11.0342705265754,2005
"13","Caribo",8.04857785741845,0.253373274623741,446,7.55062407111238,8.54653164372452,1968
"14","Carimulti",8.50419185137768,0.212513380863574,446,8.08653989973098,8.92184380302438,1978
"15","Citadel",9.12653763267998,0.192925350289219,446,8.74738198260756,9.5056932827524,1982
"16","Delmare",11.3137638359354,0.177939537325487,446,10.9640597620691,11.6634679098018,2007
"17","Donata",7.92182785741849,0.253373274623739,446,7.42387407111242,8.41978164372455,1976
"18","Donjon",9.21275858727932,0.206792809322644,446,8.80634925884484,9.6191679157138,1981
"19","Drifter",11.0317233670675,0.144628868473219,446,10.7474846573126,11.3159620768223,1997
"20","Durin",8.19645613331783,0.231980113366989,446,7.74054626685562,8.65236599978005,1976
"21","Eiffel",9.31217962937111,0.220326668162036,446,8.87917224610068,9.74518701264155,1992
"22","Elixer",11.4266974903811,0.214724975637145,446,11.0046990977259,11.8486958830363,2009
"23","Estica",9.58645571109951,0.159983985174104,446,9.27203963353931,9.90087178865971,1990
"24","Farandole",10.1748147298398,0.197149694523502,446,9.78735698788634,10.5622724717932,1997
"25","Fletum",9.33680870862367,0.183754602898951,446,8.97567630268789,9.69794111455946,1989
"26","Globus",10.4075456788488,0.165634006709706,446,10.0820256298041,10.7330657278935,2002
"27","Granada",8.93111963646257,0.195053079446742,446,8.54778236624179,9.31445690668335,1981
