"","variety","emmean","SE","df","lower.CL","upper.CL","yr_release"
"1","Alves",11.1766788372457,0.183973006764761,436,10.8150946374748,11.5382630370166,2006
"2","Amalia",11.0830260471056,0.213128673704512,436,10.6641387207261,11.5019133734851,2010
"3","Anapolis",11.4194601612928,0.244249272261782,436,10.9394077926954,11.8995125298902,2012
"4","Anouska",7.53516053509813,0.312386485488906,436,6.92118993494816,8.14913113524811,1972
"5","Anthus",10.9401461728867,0.18239312535682,436,10.5816671033991,11.2986252423743,2003
"6","Arminda",8.44943457782256,0.150710455395622,436,8.15322525684855,8.74564389879657,1974
"7","Arnaut",8.71866341048612,0.199008367552834,436,8.3275284141368,9.10979840683544,1993
"8","Benchmark",12.0755794905197,0.267660731225803,436,11.5495137757046,12.6016452053348,2013
"9","Bercy",9.73539921187039,0.164173659846135,436,9.41272904159463,10.0580693821461,1992
"10","Bristol",10.5119630628856,0.154492401385112,436,10.2083206301837,10.8156054955874,1999
"11","Carenius",10.8423314831677,0.208041745337947,436,10.4334421067868,11.2512208595486,2005
"12","Caribo",7.9805877428422,0.278470081421496,436,7.43327711656275,8.52789836912165,1968
"13","Carimulti",8.04534125943899,0.222669333194642,436,7.6077025314942,8.48297998738379,1978
"14","Citadel",8.69426303435618,0.210397931250513,436,8.28074276340714,9.10778330530523,1982
"15","Delmare",11.3524915663894,0.194039001072571,436,10.9711234615734,11.7338596712054,2007
"16","Donata",7.16149386843152,0.312386485488921,436,6.54752326828152,7.77546446858153,1976
"17","Donjon",8.59427444819263,0.225993261332629,436,8.15010280589803,9.03844609048723,1981
"18","Drifter",10.7729180342411,0.157670256987094,436,10.4630297810516,11.0828062874306,1997
"19","Durin",8.0935877428422,0.278470081421493,436,7.54627711656276,8.64089836912165,1976
"20","Eiffel",9.27287815749445,0.240272937325544,436,8.80064095651989,9.74511535846901,1992
"21","Elixer",11.3009722563457,0.234192843333311,436,10.8406849928069,11.7612595198844,2009
"22","Estica",9.73067620121578,0.174440810167033,436,9.38782676987344,10.0735256325581,1990
"23","Farandole",10.6159732634962,0.21500931561373,436,10.1933896861734,11.038556840819,1997
"24","Fletum",9.17925242598754,0.200769846012586,436,8.78465538490414,9.57384946707094,1989
"25","Globus",10.3560647065409,0.180604770670995,436,10.0011005048557,10.7110289082261,2002
"26","Granada",8.29243122087704,0.212661375094402,436,7.8744623324628,8.71040010929128,1981
"27","Granta",8.52040589149902,0.210397931250514,436,8.10688562054998,8.93392616244807,1982
"28","Harlem",10.6823927623281,0.218846554848323,436,10.2522673988359,11.1125181258204,2001
"29","Harrier",10.2633309325377,0.216534750152062,436,9.83774923588999,10.6889126291854,1995
"30","Henrik",11.1578536746974,0.191405580331154,436,10.7816613472859,11.5340460021089,2008
"31","Hereward",9.2381536203606,0.149496716524926,436,8.94432980585849,9.53197743486272,1990
"32","Herzog",8.8788143964107,0.167786114219756,436,8.54904423659374,9.20858455622767,1987
"33","Homeros",11.1904722563457,0.234192843333311,436,10.7301849928069,11.6507595198844,2009
"34","Ilias",10.2119821151661,0.162282649759584,436,9.89302857365526,10.530935656677,2000
"35","Johnny",11.2740794905197,0.267660731225803,436,10.7480137757046,11.8001452053348,2013
"36","Julius",11.0911185957136,0.182660744006416,436,10.7321135432193,11.450123648208,2007
"37","Kampa",10.0699965043777,0.198950046568628,436,9.67897613324852,10.4610168755068,1999
"38","Kelvin",10.9232981191419,0.191405580331154,436,10.5471057917304,11.2994904465534,2008
"39","Koch",10.5177824444148,0.241749091866837,436,10.0426439799998,10.9929209088298,2001
"40","Kodex",10.7695148165011,0.208041745337948,436,10.3606254401201,11.178404192882,2005
"41","Kraka",8.5752511362887,0.212912124818072,436,8.15678941938962,8.99371285318779,1985
"42","KWS Erasmus",11.4610040673381,0.257850362008399,436,10.9542198469406,11.9677882877355,2010
"43","KWS Livius",11.1560601612928,0.244249272261782,436,10.6760077926954,11.6361125298902,2012
