,Gewassen,Perioden,Regio's,yield_tha
0,Tarwe (totaal),1994,Zeeland (PV),8.8
1,Tarwe (totaal),1995,Zeeland (PV),9.0
2,Tarwe (totaal),1996,Zeeland (PV),9.8
3,Tarwe (totaal),1997,Zeeland (PV),7.8
4,Tarwe (totaal),1998,Zeeland (PV),8.9
5,Tarwe (totaal),1999,Zeeland (PV),8.7
6,Tarwe (totaal),2000,Zeeland (PV),9.1
7,Tarwe (totaal),2001,Zeeland (PV),8.1
8,Tarwe (totaal),2002,Zeeland (PV),8.6
9,Tarwe (totaal),2003,Zeeland (PV),9.5
10,Tarwe (totaal),2004,Zeeland (PV),10.0
11,Tarwe (totaal),2005,Zeeland (PV),9.4
12,Tarwe (totaal),2006,Zeeland (PV),9.1
13,Tarwe (totaal),2007,Zeeland (PV),7.7
14,Tarwe (totaal),2008,Zeeland (PV),8.9
15,Tarwe (totaal),2009,Zeeland (PV),9.9
16,Tarwe (totaal),2010,Zeeland (PV),9.1
17,Tarwe (totaal),2011,Zeeland (PV),7.8
18,Tarwe (totaal),2012,Zeeland (PV),8.4
19,Tarwe (totaal),2013,Zeeland (PV),8.7
20,Tarwe (totaal),2014,Zeeland (PV),9.2
21,Tarwe (totaal),2015,Zeeland (PV),9.4
22,Tarwe (totaal),2016,Zeeland (PV),8.1
23,Tarwe (totaal),2017,Zeeland (PV),9.0
24,Tarwe (totaal),2018,Zeeland (PV),9.1
25,Tarwe (totaal),2019,Zeeland (PV),10.2
